,State,Code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
0,Alabama,AL,6,10,11,8,6,3,11,13,9,3,2,24,25,24,64,25,38,41,36,66
1,Alaska,AK,2,2,3,3,3,4,3,10,6,7,7,11,10,14,8,9,15,10,11,3
2,Arizona,AZ,2,3,4,4,13,10,10,2,8,7,2,15,13,32,21,12,13,28,7,10
3,Arkansas,AR,7,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,4,18
4,California,CA,96,95,97,86,48,95,85,75,74,117,129,92,70,112,73,98,134,145,104,144
5,Colorado,CO,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,4,3,8
6,Connecticut,CT,3773,3597,4631,1403,1348,1810,1788,3058,3896,4156,3068,3039,2657,2925,2360,2541,1748,2051,1859,1233
7,Delaware,DE,167,152,194,212,339,646,482,715,772,984,656,873,669,509,417,435,506,608,520,641
8,District of Columbia,DC,11,17,25,14,16,10,62,116,74,61,42,0,0,35,40,121,103,84,79,100
9,Florida,FL,54,43,79,43,46,47,34,30,88,110,84,115,118,138,155,166,216,210,169,162
10,Georgia,GA,0,0,2,10,12,6,8,11,35,40,10,32,31,8,4,8,4,8,19,18
11,Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Idaho,ID,4,5,4,3,6,2,7,9,9,16,9,4,5,19,9,9,17,20,9,14
13,Illinois,IL,35,32,47,71,87,127,110,149,108,136,135,194,204,337,233,287,237,273,276,395
14,Indiana,IN,23,26,21,25,32,33,26,55,42,83,78,94,74,110,110,138,152,142,155,189
15,Iowa,IA,34,36,42,58,49,89,97,123,109,108,85,100,165,247,194,318,232,255,283,303
16,Kansas,KS,17,2,7,4,3,3,4,8,16,18,10,17,19,34,20,23,39,40,30,35
17,Kentucky,KY,13,23,25,17,15,5,7,6,5,1,5,3,14,40,44,49,33,20,22,22
18,Louisiana,LA,8,8,5,7,2,3,1,2,3,0,3,2,7,0,2,3,7,12,4,8
19,Maine,ME,71,108,219,175,225,247,338,529,908,970,751,1006,1111,1373,1401,1201,1487,1850,1405,2167
20,Maryland,MD,688,608,738,691,891,1235,1248,2576,2218,2024,1617,1351,1651,1197,1373,1728,1866,1891,1382,1417
21,Massachusetts,MA,1158,1164,1807,1532,1532,2336,1432,2988,4582,5256,3263,2476,5138,5290,5304,4224,198,410,16,7
22,Michigan,MI,23,21,26,12,27,62,55,51,92,103,95,104,98,168,127,148,221,291,262,413
23,Minnesota,MN,465,461,867,474,1023,917,914,1238,1282,1543,1960,2124,1515,2340,1416,1805,2126,2318,1541,1528
24,Mississippi,MS,3,8,12,21,0,0,3,1,1,0,0,5,1,0,2,4,1,1,4,4
25,Missouri,MO,47,37,41,70,25,15,5,10,6,3,4,8,2,3,10,5,10,12,11,17
26,Montana,MT,0,0,0,0,0,0,1,4,17,3,4,11,6,18,7,5,17,12,7,8
27,Nebraska,NE,5,4,6,2,2,2,11,7,12,5,8,11,15,10,7,11,14,14,15,10
28,Nevada,NV,4,4,2,3,1,3,4,15,12,13,2,5,10,16,6,7,15,17,14,17
29,New Hampshire,NH,84,129,261,190,226,265,617,896,1601,1415,1339,1299,1450,1687,724,529,891,1381,1428,1710
30,New Jersey,NJ,2459,2020,2349,2887,2698,3363,2432,3134,3485,4973,3712,4262,3576,3766,3286,4855,4350,5092,4000,3619
31,New Mexico,NM,0,1,1,1,1,3,3,5,8,5,5,6,1,6,0,0,1,3,2,7
32,New York,NY,4329,4083,5535,5399,5100,5565,4460,4165,7794,5651,3425,4490,2998,4615,3736,4314,3882,5155,3638,4243
33,North Carolina,NC,47,41,137,156,122,49,31,53,47,96,82,88,122,180,170,230,272,295,212,334
34,North Dakota,ND,2,0,1,0,0,3,7,12,10,15,33,27,15,29,14,33,32,56,33,38
35,Ohio,OH,61,44,82,66,50,58,43,33,45,58,44,53,67,93,119,154,160,270,293,467
36,Oklahoma,OK,1,0,0,0,3,0,0,1,2,2,0,2,4,3,0,0,0,1,0,0
37,Oregon,OR,13,15,12,16,11,3,7,6,38,38,39,38,48,43,45,31,61,84,70,65
38,Pennsylvania,PA,2343,2806,3989,5730,3985,4287,3242,3994,3818,5722,3805,5362,5033,5758,7487,9048,11443,11900,10208,8998
39,Rhode Island,RI,675,510,852,736,249,39,308,177,210,235,181,159,217,724,904,904,903,1132,1111,971
40,South Carolina,SC,25,6,26,18,22,15,20,31,29,42,29,37,44,42,37,42,51,21,39,47
41,South Dakota,SD,0,0,2,1,1,2,1,0,3,1,1,4,4,4,2,5,11,12,7,10
42,Tennessee,TN,28,31,28,20,20,8,15,31,31,37,36,37,30,25,17,26,25,47,29,45
43,Texas,TX,77,75,139,85,98,69,29,87,153,276,142,74,75,82,40,54,71,58,47,41
44,Utah,UT,3,1,5,2,1,2,5,7,5,9,3,9,5,15,13,7,19,25,27,19
45,Vermont,VT,40,18,37,43,50,54,105,138,404,408,356,623,522,893,599,710,761,1092,576,1064
46,Virginia,VA,149,156,259,195,216,274,357,959,933,908,1245,1023,1110,1307,1346,1539,1350,1657,1139,1199
47,Washington,WA,9,9,11,7,14,13,8,12,23,16,16,19,15,18,15,24,31,37,20,43
48,West Virginia,WV,35,16,26,31,38,61,28,84,135,201,145,118,97,143,136,289,368,648,671,885
49,Wisconsin,WI,631,597,1090,740,1144,1459,1466,1814,2034,2589,3488,3649,1766,1872,1361,1894,2295,3000,1869,2178
50,Wyoming,WY,3,1,2,2,4,3,1,3,3,3,0,2,4,3,3,1,1,4,0,5
